Transcribed Text,TextBlob Sentiment,VADER Sentiment
what is amazing I love it,Positive,Positive
with the product not as expected,Negative,Neutral
with this purchase,Neutral,Neutral
my needs very pleased with it,Positive,Positive
this is great but it's a bit slow,Positive,Positive
but ok for the price,Positive,Positive
but not as durable as I thought,Neutral,Neutral
goodbye again,Neutral,Neutral
product but it could be better,Positive,Positive
impressed with the quality,Positive,Positive
see what I needed and it works great,Positive,Positive
is good but it's not the best,Positive,Negative
product worth every penny,Positive,Positive
what could be improved,Neutral,Positive
what could be more powerful,Positive,Positive
fine but there are issues with the setup,Positive,Positive
for the price but not amazing,Negative,Negative
it is ok but not what I expected,Positive,Positive
but I expected a little better performance,Positive,Positive
ok not bad but not great either,Positive,Negative
but I wasn't blown away by it,Neutral,Neutral
quality but there are better options available,Positive,Positive
functions as expected but it doesn't stand out,Negative,Neutral
date and was damaged terrible service,Negative,Negative
it gets the job done,Neutral,Neutral
what is amazing I love it,Positive,Positive
great I expected more features,Positive,Positive
quality is amazing highly recommend for music lovers,Positive,Positive
in the item was defective,Neutral,Negative
yes I made this year totally worth it,Positive,Positive
price but I wouldn't buy it again,Neutral,Neutral
bring an excellent quality,Positive,Positive
sleek but functionality could be better,Positive,Positive
appearance I would never buy this again,Neutral,Neutral
casual use not professional grade 2,Negative,Positive
connecting a better user interface but it's good overall,Positive,Positive
but not the best quality,Positive,Negative
works as advertised satisfied with my purchase,Positive,Positive
to use and works exactly as described,Positive,Neutral
working after a few days of use,Negative,Neutral
but there are better options out there,Positive,Positive
life is exceptional very pleased with this,Positive,Positive
the price but definitely needs improvement,Neutral,Positive
sing it for weeks and it's still working fine,Positive,Positive
fine with the customer service was poor,Positive,Negative
pointed it doesn't meet my Expectations at all,Neutral,Neutral
would definitely buy again,Neutral,Positive
with my decision to buy this,Neutral,Neutral
different from the picture but it's ok,Positive,Positive
expected no issues so far,Neutral,Negative
especially if you are on a budget,Neutral,Neutral
but works ok,Positive,Positive
for the price no complaints,Neutral,Positive
happy with this exceeded my expectations,Positive,Positive
excellent but it gets hot quickly,Positive,Positive
satisfied with my purchase highly recommend,Positive,Positive
for unclear and difficult to follow,Negative,Negative
but like some features I was hoping for,Neutral,Positive
is a friendly takes a while to figure out,Positive,Positive
product but I was hoping for better quality,Positive,Positive
again but not my favourite,Neutral,Neutral
feels cheap,Positive,Neutral
all my Expectations highly recommend,Positive,Positive
but there are better options for the price,Positive,Positive
but I had a few problems with setup,Negative,Negative
with it returns for difficult,Negative,Negative
decent but the price is too high,Positive,Neutral
it is good but not the best,Positive,Negative
design but it's not very functional,Negative,Neutral
I've been using it everyday,Negative,Neutral
but the packaging was poor,Negative,Negative
would buy again,Neutral,Neutral
didn't work as expected returning it,Negative,Neutral
this product it's just what I needed,Neutral,Neutral
great but the shipping took too long,Positive,Positive
but I was expecting a bit more,Positive,Neutral
it is good but not great,Positive,Negative
money it broke after one use,Neutral,Negative
trust won't buy again,Neutral,Positive
and the product is decent,Positive,Neutral
for the price but can be improved,Neutral,Positive
with this purchase,Neutral,Neutral
good but arrives slightly damaged,Positive,Negative
but I expected more based on reviews,Positive,Neutral
active but could be more durable,Positive,Positive
the colour but works fine,Positive,Positive
described no complaints at all,Neutral,Positive
advertised very disappointed,Negative,Negative
for the price very happy with the product,Positive,Positive
it works perfectly for my needs,Positive,Positive
but the volume could be higher,Positive,Neutral
the performance wouldn't buy again,Neutral,Neutral
use no issues so far,Positive,Negative
with this product but could use some improvements,Neutral,Positive
fine but the instructions are confusing,Positive,Negative
exceeded my Expectations very happy,Positive,Positive
join this product works great,Positive,Positive
but there are some better options available,Positive,Positive
what could be more user friendly,Positive,Positive
was more durable but it does the job,Positive,Neutral
and it stopped working after a few uses,Negative,Negative
but I had issues with the setup,Neutral,Neutral
exceeded my expectations,Neutral,Neutral
ok but could be improved,Positive,Positive
but doesn't work with all devices,Neutral,Neutral
definitely recommended,Neutral,Positive
five stars very pleased,Positive,Positive
overpriced for what it offers,Positive,Neutral
exactly what I needed,Positive,Neutral
but not worth the price,Negative,Negative
quality and fast delivery,Positive,Neutral
goodbye again,Neutral,Neutral
just a little bulky,Negative,Neutral
what is the game changer love it,Positive,Positive
working after a few days very disappointing,Negative,Negative
for the price,Neutral,Neutral
but I expected better performance,Positive,Positive
comment for casual users,Negative,Positive
ok but could be more durable,Positive,Positive
with the quality,Neutral,Neutral
works well but is a bit heavy,Negative,Positive
